quantity	value	p
loci with consensus + SD architecture	93	
hard-rule agreement with consensus	0.7957	
hard-rule Cohen kappa	0.5371	
hard-rule loci reclassified	19	
logistic agreement (in-sample)	0.7419	
logistic agreement (leave-one-out)	0.7312	
[consensus] Single-event: Inverted vs Direct	0.262692	7.41629e-05
[consensus] Recurrent: Inverted vs Direct	1.090004	0.372447
[consensus] Interaction (difference between those two)	4.149356	5.01496e-05
[consensus] Overall inversion effect (pooled Δ-logπ)	0.547526	0.00163123
[SD hard rule (primary)] Single-event: Inverted vs Direct	0.330955	0.000296111
[SD hard rule (primary)] Recurrent: Inverted vs Direct	1.051533	0.63832
[SD hard rule (primary)] Interaction (difference between those two)	3.177273	0.000355745
[SD hard rule (primary)] Overall inversion effect (pooled Δ-logπ)	0.547526	0.00163123
[SD logistic (in-sample)] Single-event: Inverted vs Direct	0.341486	0.00207379
[SD logistic (in-sample)] Recurrent: Inverted vs Direct	0.829059	0.260731
[SD logistic (in-sample)] Interaction (difference between those two)	2.427799	0.0217992
[SD logistic (in-sample)] Overall inversion effect (pooled Δ-logπ)	0.547526	0.00163123
[SD logistic (leave-one-out)] Single-event: Inverted vs Direct	0.371853	0.00445536
[SD logistic (leave-one-out)] Recurrent: Inverted vs Direct	0.786932	0.141915
[SD logistic (leave-one-out)] Interaction (difference between those two)	2.116247	0.0510368
[SD logistic (leave-one-out)] Overall inversion effect (pooled Δ-logπ)	0.547526	0.00163123
continuous NAHR score vs Delta-log pi (Spearman rho)	0.374158	0.00273725
