scenario,depth,rho,m_flux,reps,recurrent_call_rate,recurrent_call_rate_conditional,n_endpoint,mean_events,median_events
recurrent,old,0.0,0.0,60,0.6,0.8,15,1.6666666666666667,2.0
recurrent,old,0.0,1e-09,60,0.75,0.9,10,1.8166666666666667,2.0
recurrent,old,0.0,1e-08,60,0.8333333333333334,0.9615384615384616,8,1.8833333333333333,2.0
recurrent,old,0.0,1e-07,60,0.7166666666666667,0.8571428571428571,11,1.7833333333333334,2.0
recurrent,old,0.0,1e-06,60,0.7333333333333333,0.9565217391304348,14,1.8833333333333333,2.0
recurrent,old,1e-08,0.0,60,0.7333333333333333,0.9166666666666666,12,1.7833333333333334,2.0
recurrent,old,1e-08,1e-09,60,0.7833333333333333,0.9215686274509803,9,1.7833333333333334,2.0
recurrent,old,1e-08,1e-08,60,0.7333333333333333,0.8627450980392157,9,1.7333333333333334,2.0
recurrent,old,1e-08,1e-07,60,0.6833333333333333,0.82,10,1.6833333333333333,2.0
recurrent,old,1e-08,1e-06,60,0.7333333333333333,0.8627450980392157,9,1.7833333333333334,2.0
recurrent,old,1e-06,0.0,60,0.65,0.75,8,1.65,2.0
recurrent,old,1e-06,1e-09,60,0.6666666666666666,0.8695652173913043,14,1.6666666666666667,2.0
recurrent,old,1e-06,1e-08,60,0.6833333333333333,0.82,10,1.6833333333333333,2.0
recurrent,old,1e-06,1e-07,60,0.7,0.9130434782608695,14,1.7,2.0
recurrent,old,1e-06,1e-06,60,0.6333333333333333,0.76,10,1.6333333333333333,2.0
recurrent,recent,0.0,0.0,60,0.8333333333333334,0.875,12,2.8666666666666667,3.0
recurrent,recent,0.0,1e-09,60,0.9166666666666666,0.9591836734693877,11,3.2333333333333334,3.0
recurrent,recent,0.0,1e-08,60,0.75,0.8085106382978723,13,2.783333333333333,3.0
recurrent,recent,0.0,1e-07,60,0.8,0.8666666666666667,15,3.1,3.0
recurrent,recent,0.0,1e-06,60,0.85,0.9183673469387755,11,3.2,3.0
recurrent,recent,1e-08,0.0,60,0.8833333333333333,0.9411764705882353,9,3.283333333333333,3.0
recurrent,recent,1e-08,1e-09,60,0.8,0.88,10,3.1166666666666667,3.0
recurrent,recent,1e-08,1e-08,60,0.8,0.8913043478260869,14,3.216666666666667,3.0
recurrent,recent,1e-08,1e-07,60,0.8833333333333333,0.9038461538461539,8,3.1166666666666667,3.0
recurrent,recent,1e-08,1e-06,60,0.85,0.8979591836734694,11,3.15,3.0
recurrent,recent,1e-06,0.0,60,0.7,0.875,12,1.7,2.0
recurrent,recent,1e-06,1e-09,60,0.7333333333333333,0.88,10,1.7333333333333334,2.0
recurrent,recent,1e-06,1e-08,60,0.6333333333333333,0.8636363636363636,16,1.6333333333333333,2.0
