scenario,depth,rho,m_flux,reps,recurrent_call_rate,mean_events,median_events,mean_n_sites
recurrent,recent,0.0,1e-06,60,0.916667,3.2,3.0,354.033333
recurrent,recent,0.0,3e-06,60,0.866667,3.383333,3.0,346.883333
recurrent,recent,0.0,1e-05,60,0.933333,4.15,4.0,361.05
recurrent,recent,0.0,3e-05,60,0.883333,5.033333,5.0,342.75
recurrent,recent,0.0,0.0001,60,0.95,7.333333,8.0,347.483333
recurrent,young,0.0,1e-06,60,0.883333,2.266667,2.0,385.783333
recurrent,young,0.0,3e-06,60,0.9,2.45,2.0,395.183333
recurrent,young,0.0,1e-05,60,0.833333,2.533333,2.5,365.1
recurrent,young,0.0,3e-05,60,0.916667,4.233333,4.0,378.533333
recurrent,young,0.0,0.0001,60,0.933333,7.266667,7.5,360.716667
single,recent,0.0,1e-06,60,0.3,1.416667,1.0,374.7
single,recent,0.0,3e-06,60,0.483333,1.7,1.0,378.433333
single,recent,0.0,1e-05,60,0.583333,2.016667,2.0,382.783333
single,recent,0.0,3e-05,60,0.866667,3.3,3.0,386.016667
single,recent,0.0,0.0001,60,1.0,6.183333,6.0,383.65
single,young,0.0,1e-06,60,0.083333,1.083333,1.0,393.333333
single,young,0.0,3e-06,60,0.183333,1.183333,1.0,398.716667
single,young,0.0,1e-05,60,0.4,1.583333,1.0,396.966667
single,young,0.0,3e-05,60,0.733333,2.75,3.0,396.666667
single,young,0.0,0.0001,60,0.966667,5.816667,5.5,389.716667
