scenario,depth,rho,m_flux,reps,recurrent_call_rate,mean_events,median_events,mean_n_sites
recurrent,recent,0.0,0.0,60,0.933333,3.616667,4.0,343.7
recurrent,recent,0.0,0.0,60,0.9,3.65,4.0,356.916667
recurrent,recent,0.0,0.0,60,0.933333,3.566667,3.0,389.416667
recurrent,recent,0.0,0.0,60,0.9,3.5,4.0,354.6
recurrent,recent,0.0,1e-06,60,0.883333,3.283333,3.0,340.466667
recurrent,recent,0.0,0.0,60,0.9,3.2,3.0,355.266667
recurrent,recent,0.0,0.0,60,0.916667,3.35,3.0,355.083333
recurrent,recent,0.0,0.0,60,0.883333,3.366667,3.0,352.65
recurrent,recent,0.0,0.0,60,0.933333,3.566667,3.0,345.216667
recurrent,recent,0.0,1e-06,60,0.9,3.566667,4.0,358.066667
recurrent,recent,1e-06,0.0,60,0.916667,1.933333,2.0,358.65
recurrent,recent,1e-06,0.0,60,0.916667,1.933333,2.0,350.65
recurrent,recent,1e-06,0.0,60,0.883333,1.883333,2.0,342.316667
recurrent,recent,1e-06,0.0,60,0.85,1.85,2.0,344.283333
recurrent,recent,1e-06,1e-06,60,0.866667,1.866667,2.0,340.333333
recurrent,young,0.0,0.0,60,0.866667,2.283333,2.0,378.583333
recurrent,young,0.0,0.0,60,0.916667,2.433333,2.0,390.3
recurrent,young,0.0,0.0,60,0.833333,2.2,2.0,370.95
recurrent,young,0.0,0.0,60,0.866667,2.416667,2.0,387.333333
recurrent,young,0.0,1e-06,60,0.85,2.216667,2.0,373.55
recurrent,young,0.0,0.0,60,0.95,2.35,2.0,395.516667
recurrent,young,0.0,0.0,60,0.95,2.283333,2.0,393.233333
recurrent,young,0.0,0.0,60,0.883333,2.116667,2.0,385.5
recurrent,young,0.0,0.0,60,0.883333,2.1,2.0,379.833333
recurrent,young,0.0,1e-06,60,0.983333,2.416667,2.0,398.883333
recurrent,young,1e-06,0.0,60,0.9,1.9,2.0,396.316667
recurrent,young,1e-06,0.0,60,0.916667,1.916667,2.0,399.916667
recurrent,young,1e-06,0.0,60,0.816667,1.816667,2.0,377.333333
recurrent,young,1e-06,0.0,60,0.883333,1.883333,2.0,381.133333
recurrent,young,1e-06,1e-06,60,0.933333,1.933333,2.0,404.25
recurrent,old,0.0,0.0,60,0.933333,2.066667,2.0,478.55
recurrent,old,0.0,0.0,60,0.883333,1.95,2.0,452.683333
