gene_name	transcript_id	inv_id	recurrence	k_direct	k_inverted	n_seq_classes	p_direct	p_inverted	delta	perm_p	perm_method	n_assignments	jackknife_p	jackknife_q	jackknife_note	reproduces_published	status	perm_q_bh	perm_q_by
PDXDC1	ENST00000396410.9	16:14954790-15100859	recurrent	16	58	3	1.0	0.3315184513006655	-0.6684815486993345	4.99999750000125e-07	monte_carlo	2000000	0.0	0.0		True	OK	4.099997950001025e-05	0.00023288512232714579
SULT1A2	ENST00000335715.9	16:28471892-28637651	recurrent	52	30	3	1.0	0.46436781609195404	-0.535632183908046	4.99999750000125e-07	monte_carlo	2000000	0.0	0.0		True	OK	4.099997950001025e-05	0.00023288512232714579
DEFB136	ENST00000382209.2	8:7301024-12598379	recurrent	41	41	3	0.8585365853658536	0.44146341463414634	-0.4170731707317073	9.499995250002374e-06	monte_carlo	2000000	5.377274068241178e-07	5.879152981277021e-06		True	OK	0.0005193330736667965	0.0029498782161438467
ZNF92	ENST00000328747.12	7:65219157-65531823	recurrent	54	26	2	0.5157232704402516	1.0	0.48427672955974843	4.7499976250011875e-05	monte_carlo	2000000	0.0	0.0		True	OK	0.001947499026250487	0.011062043310539425
MTMR9	ENST00000221086.8	8:7301024-12598379	recurrent	41	41	6	0.44878048780487806	0.6963414634146341	0.24756097560975604	0.00017299991350004326	monte_carlo	2000000	0.0215714905762507	0.1415089781802048		True	OK	0.0056743971628014185	0.03223130093007698
MFHAS1	ENST00000276282.7	8:7301024-12598379	recurrent	41	41	9	0.8134146341463414	0.3463414634146341	-0.4670731707317073	0.0005799942000579994	monte_carlo	100000	5.228360545306288e-05	0.0005043830173119		True	OK	0.015853174801585317	0.09004805851036825
FAM167A	ENST00000284486.9	8:7301024-12598379	recurrent	41	41	4	0.9512195121951219	0.5402439024390244	-0.4109756097560975	0.0012999870001299987	monte_carlo	100000	1.7843628718150484e-05	0.000182897194361		True	OK	0.03045683828875997	0.17299873309873703
CLDN23	ENST00000519106.2	8:7301024-12598379	recurrent	41	41	8	0.2817073170731707	0.5768292682926829	0.2951219512195122	0.0038599614003859964	monte_carlo	100000	0.0059998225379991	0.0491985448115928		True	OK	0.07912920870791293	0.44946401618537263
SPPL2C	ENST00000329196.7	17:45585159-46292045	single-event	72	10	11	0.5156494522691706	1.0	0.4843505477308294	0.005669943300566994	monte_carlo	100000	9.64250901347441e-12	1.5813714782098032e-10		True	OK	0.10200697993020072	0.5794126799322317
TNKS	ENST00000310430.11	8:7301024-12598379	recurrent	41	41	13	0.25121951219512195	0.5719512195121951	0.3207317073170731	0.006219937800621994	monte_carlo	100000	0.005368603838082	0.04633952786555		True	OK	0.10200697993020072	0.5794126799322317
PINX1	ENST00000554914.1	8:7301024-12598379	recurrent	41	41	13	0.4329268292682927	0.1975609756097561	-0.23536585365853657	0.007409925900740993	monte_carlo	100000	0.0114992975841885	0.0857220365366782		True	OK	0.1057789422105779	0.6008379076467676
MLXIPL	ENST00000313375.8	7:73113989-74799029	recurrent	77	3	8	0.6155160628844839	0.0	-0.6155160628844839	0.008580817916260954	exact	82160	0.0	0.0		True	OK	0.1057789422105779	0.6008379076467676
NTAN1	ENST00000287706.8	16:14954790-15100859	recurrent	16	58	4	0.875	0.499697519661222	-0.375302480338778	0.00877991220087799	monte_carlo	100000	0.0047234067035466	0.0430354832989806		True	OK	0.1057789422105779	0.6008379076467676
