Phenotype	Q_GLOBAL	P_Value_x	P_Value_y	N_Total	N_Cases	N_Controls	Beta	OR	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Overall_Valid	P_Source_y	P_Method	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY
Melanocytic_nevi	9.81815e-08	8.95E-11	8.95E-11	286294	29527	256767	-0.0738314751	0.9288282113	TRUE	lrt_mle	0.908,0.950	wald_mle	two	TRUE	0.9082294208	0.9498941858	FALSE	TRUE	FALSE	mle	286294	29527	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	8.95E-11	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.908,0.950	0.9082294208	0.9498941858
Benign_neoplasm_of_the_skin	6.417450000000001e-06	1.17E-08	1.17E-08	303482	46715	256767	-0.05445411079	0.947001965	TRUE	lrt_mle	0.929,0.965	wald_mle	two	TRUE	0.9293980703	0.9649392983	FALSE	TRUE	FALSE	mle	303482	46715	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	1.17E-08	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.929,0.965	0.9293980703	0.9649392983
Rosacea	0.00037297999999999997	1.02E-06	1.02E-06	240372	9911	230461	-0.09142730705	0.9126276553	TRUE	lrt_mle	0.880,0.947	wald_mle	two	TRUE	0.8795329598	0.9469676241	FALSE	TRUE	FALSE	mle	240372	9911	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	1.02E-06	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.880,0.947	0.8795329598	0.9469676241
Morbid_obesity	0.0010010125	3.65E-06	3.65E-06	227741	35250	192491	0.05286645223	1.054288838	TRUE	lrt_mle	1.031,1.078	wald_mle	two	TRUE	1.03103028	1.078072075	FALSE	TRUE	FALSE	mle	227741	35250	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	3.65E-06	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	1.031,1.078	1.03103028	1.078072075
Scar_conditions_and_fibrosis_of_skin	0.0058579800000000005	2.67E-05	2.67E-05	241583	11122	230461	-0.07607563318	0.9267461111	TRUE	lrt_mle	0.894,0.960	wald_mle	two	TRUE	0.8942187754	0.9604566334	FALSE	TRUE	FALSE	mle	241583	11122	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	2.67E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.894,0.960	0.8942187754	0.9604566334
Lump_or_mass_in_breast_or_nonspecific_abnormal_breast_exam	0.007825266666666665	4.28E-05	4.28E-05	299702	42935	256767	-0.04489043729	0.9561022292	TRUE	lrt_mle	0.936,0.977	wald_mle	two	TRUE	0.9357228911	0.976925414	FALSE	TRUE	FALSE	mle	299702	42935	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	4.28E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.936,0.977	0.9357228911	0.976925414
Abnormal_mammogram	0.0089954	6.87E-05	6.87E-05	274932	18165	256767	-0.06306201956	0.9388852426	TRUE	lrt_mle	0.910,0.969	wald_mle	two	TRUE	0.9100674516	0.968615565	FALSE	TRUE	FALSE	mle	166372	18100	148272	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	6.87E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.910,0.969	0.9100674516	0.968615565
Skin_changes_due_to_solar_radiation	0.0089954	7.01E-05	7.01E-05	258418	27957	230461	-0.04765051986	0.9534669466	TRUE	lrt_mle	0.931,0.976	wald_mle	two	TRUE	0.9312744605	0.9761882848	FALSE	TRUE	FALSE	mle	258418	27957	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	7.01E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.931,0.976	0.9312744605	0.9761882848
Benign_sarcoma_related_cancers	0.0089954	7.38E-05	7.38E-05	290109	33342	256767	-0.04428204082	0.9566840955	TRUE	lrt_mle	0.936,0.978	wald_mle	two	TRUE	0.9359084865	0.9779208883	FALSE	TRUE	FALSE	mle	290109	33342	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	7.38E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.936,0.978	0.9359084865	0.9779208883
Diseases_of_vocal_cords_and_larynx_not_elsewhere_classified	0.00996076	9.08E-05	9.08E-05	217079	7447	209632	-0.08868433358	0.9151344052	TRUE	lrt_mle	0.875,0.957	wald_mle	two	TRUE	0.8750785617	0.9570237647	FALSE	TRUE	FALSE	mle	217079	7447	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	9.08E-05	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.875,0.957	0.8750785617	0.9570237647
Hypertrophic_conditions_of_skin	0.009972727272727274	1.00E-04	1.00E-04	251055	20594	230461	-0.05353812387	0.9478698038	TRUE	lrt_mle	0.923,0.974	wald_mle	two	TRUE	0.9225462553	0.9738884744	FALSE	TRUE	FALSE	mle	251055	20594	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	1.00E-04	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.923,0.974	0.9225462553	0.9738884744
Nonspecific_reaction_to_test_for_tuberculosis	0.010281866416966665	0.0001124725588	0.0001124725588	188492	5919	182573	-0.1143853395	0.8919141999	TRUE	lrt_mle	0.841,0.946	wald_mle	two	TRUE	0.8410668822	0.9458355297	FALSE	TRUE	FALSE	mle	188492	5919	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.0001124725588	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.841,0.946	0.8410668822	0.9458355297
Aphagia_and_dysphagia	0.011100693685607694	0.0001315487857	0.0001315487857	222995	26396	196599	-0.04875699005	0.9524125473	TRUE	lrt_mle	0.929,0.977	wald_mle	two	TRUE	0.9288283014	0.9765956301	FALSE	TRUE	FALSE	mle	222995	26396	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.0001315487857	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.929,0.977	0.9288283014	0.9765956301
Sebaceous_cyst_Epidermal_cyst	0.01679644612842353	0.0002199519457	0.0002199519457	248808	18347	230461	-0.05357148024	0.9478381869	TRUE	lrt_mle	0.921,0.975	wald_mle	two	TRUE	0.9211767574	0.9752712727	FALSE	TRUE	FALSE	mle	248808	18347	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.0002199519457	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.921,0.975	0.9211767574	0.9752712727
Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation	0.01679644612842353	0.0002360765853	0.0002360765853	256692	26231	230461	-0.0454065578	0.9556088926	TRUE	lrt_mle	0.933,0.979	wald_mle	two	TRUE	0.9327027862	0.9790775466	FALSE	TRUE	FALSE	mle	256692	26231	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.0002360765853	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.933,0.979	0.9327027862	0.9790775466
Diverticular_disease_Bowel_diverticulosis	0.01679644612842353	0.000256578128	0.000256578128	234831	38232	196599	-0.04131289337	0.9595288528	TRUE	lrt_mle	0.938,0.981	wald_mle	two	TRUE	0.9384693326	0.9810609546	FALSE	TRUE	FALSE	mle	234831	38232	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45585160-INV-706887	0.000256578128	TRUE	lrt_mle	lrt_mle	True	TRUE	wald_mle	0.938,0.981	0.9384693326	0.9810609546
