dataset	consensus	consensus_label	phy_group	group_label	filename	gene_name	gene_id	transcript_id	chr	cds_start	cds_end	inv_start	inv_end	n_sites	n_sequences	n_pairs	n_identical_pairs	prop_identical_pairs	inv_exact_match
CDS	1	Recurrent	0	Direct	group0_ABHD11_ENSG00000106077.19_ENST00000222800.8_chr7_cds_start73736562_cds_end73738770_inv_start73113989_inv_end74799029.phy	ABHD11	ENSG00000106077.19	ENST00000222800.8	7	73736562	73738770	73113989	74799029	918	77	2926	2850	0.974026	1
CDS	1	Recurrent	0	Direct	group0_AIMP2_ENSG00000106305.10_ENST00000223029.8_chr7_cds_start6009364_cds_end6023688_inv_start5989046_inv_end6735643.phy	AIMP2	ENSG00000106305.10	ENST00000223029.8	7	6009364	6023688	5989046	6735643	960	73	2628	1456	0.554033	1
CDS	1	Recurrent	0	Direct	group0_ANKRD61_ENSG00000157999.6_ENST00000409061.2_chr7_cds_start6031376_cds_end6036383_inv_start5989046_inv_end6735643.phy	ANKRD61	ENSG00000157999.6	ENST00000409061.2	7	6031376	6036383	5989046	6735643	1254	73	2628	1271	0.483638	1
CDS	1	Recurrent	0	Direct	group0_APOBR_ENSG00000184730.12_ENST00000564831.6_chr16_cds_start28494682_cds_end28498502_inv_start28471892_inv_end28637651.phy	APOBR	ENSG00000184730.12	ENST00000564831.6	16	28494682	28498502	28471892	28637651	3291	52	1326	1326	1.000000	1
CDS	1	Recurrent	0	Direct	group0_ARHGAP11B_ENSG00000285077.4_ENST00000697964.2_chr15_cds_start30626821_cds_end30635627_inv_start30618103_inv_end32153204.phy	ARHGAP11B	ENSG00000285077.4	ENST00000697964.2	15	30626821	30635627	30618103	32153204	801	72	2556	2556	1.000000	1
CDS	1	Recurrent	0	Direct	group0_BAZ1B_ENSG00000009954.11_ENST00000339594.9_chr7_cds_start73442199_cds_end73521933_inv_start73113989_inv_end74799029.phy	BAZ1B	ENSG00000009954.11	ENST00000339594.9	7	73442199	73521933	73113989	74799029	4449	77	2926	1550	0.529733	1
CDS	1	Recurrent	0	Direct	group0_BCL7B_ENSG00000106635.8_ENST00000223368.7_chr7_cds_start73537301_cds_end73557578_inv_start73113989_inv_end74799029.phy	BCL7B	ENSG00000106635.8	ENST00000223368.7	7	73537301	73557578	73113989	74799029	606	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_BLK_ENSG00000136573.16_ENST00000259089.9_chr8_cds_start11543225_cds_end11564105_inv_start7301024_inv_end12598379.phy	BLK	ENSG00000136573.16	ENST00000259089.9	8	11543225	11564105	7301024	12598379	1515	41	820	452	0.551220	1
CDS	1	Recurrent	0	Direct	group0_BUD23_ENSG00000071462.13_ENST00000265758.7_chr7_cds_start73683626_cds_end73697883_inv_start73113989_inv_end74799029.phy	BUD23	ENSG00000071462.13	ENST00000265758.7	7	73683626	73697883	73113989	74799029	843	77	2926	2926	1.000000	1
CDS	1	Recurrent	0	Direct	group0_C8orf74_ENSG00000171060.11_ENST00000304519.10_chr8_cds_start10672666_cds_end10700468_inv_start7301024_inv_end12598379.phy	C8orf74	ENSG00000171060.11	ENST00000304519.10	8	10672666	10700468	7301024	12598379	882	41	820	440	0.536585	1
