chr,region_start,region_end,0_sequence_length,1_sequence_length,0_sequence_length_adjusted,1_sequence_length_adjusted,0_segregating_sites,1_segregating_sites,0_w_theta,1_w_theta,0_pi,1_pi,0_segregating_sites_filtered,1_segregating_sites_filtered,0_w_theta_filtered,1_w_theta_filtered,0_pi_filtered,1_pi_filtered,0_num_hap_no_filter,1_num_hap_no_filter,0_num_hap_filter,1_num_hap_filter,inversion_freq_no_filter,inversion_freq_filter,haplotype_overall_fst_wc,haplotype_between_pop_variance_wc,haplotype_within_pop_variance_wc,haplotype_num_informative_sites_wc,hudson_fst_hap_group_0v1,hudson_dxy_hap_group_0v1,hudson_pi_hap_group_0,hudson_pi_hap_group_1,hudson_pi_avg_hap_group_0v1
22,21201771,21280466,78696,78696,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,11,1,7,1,0.083333,0.125000,NA,0.000000,0.000000,0,NA,NA,NA,NA,NA
22,21443089,21491761,48673,48673,15097,15097,6,18,0.000101,0.000257,0.000105,0.000107,6,18,0.000101,0.000257,0.000105,0.000107,29,59,29,59,0.670455,0.670455,NA,0.000000,0.000000,21,0.049891,0.000112,0.000105,0.000107,0.000106
22,23969582,23971740,2159,2159,2159,2159,7,3,0.000667,0.000427,0.000320,0.000185,2,1,0.000618,0.000309,0.000618,0.000309,73,15,3,3,0.170455,0.500000,NA,0.000000,0.000000,8,0.000000,0.000463,0.000618,0.000309,0.000463
4,33098066,33104924,6859,6859,6859,6859,13,0,0.000378,0.000000,0.000160,0.000000,13,0,0.000378,0.000000,0.000160,0.000000,85,3,85,3,0.034091,0.034091,NA,0.000000,0.000000,13,0.651741,0.000230,0.000160,0.000000,0.000080
4,40233406,40235439,2034,2034,2034,2034,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,60,26,31,11,0.302326,0.261905,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
4,49284664,49291017,6354,6354,6354,6354,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,17,29,6,18,0.630435,0.750000,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
4,49291019,49325004,33986,33986,33986,33986,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,36,42,33,41,0.538462,0.554054,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
4,87926011,87937547,11537,11537,11537,11537,0,3,0.000000,0.000054,0.000000,0.000007,0,2,0.000000,0.000036,0.000000,0.000005,17,71,17,71,0.806818,0.806818,NA,0.000000,0.000000,2,0.000000,0.000002,0.000000,0.000005,0.000002
4,145693552,145694748,1197,1197,1197,1197,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,30,58,9,53,0.659091,0.854839,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
4,156905870,156912808,6939,6939,6939,6939,24,0,0.000687,NaN,0.000146,NaN,24,0,0.000687,NaN,0.000146,NaN,87,1,87,1,0.011364,0.011364,NA,0.000000,0.000000,25,NA,NA,NA,NA,NA
4,187950173,187954784,4612,4612,4612,4612,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,57,31,57,29,0.352273,0.337209,NA,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000
