chr	region_start_0based	region_end_0based	pop1_id_type	pop1_id_name	pop2_id_type	pop2_id_name	Dxy	pi_pop1	pi_pop2	pi_xy_avg	FST
22	21443088	21491760	HaplotypeGroup	0	HaplotypeGroup	1	0.000112	0.000105	0.000107	0.000106	0.049891
22	23969581	23971739	HaplotypeGroup	0	HaplotypeGroup	1	0.000463	0.000618	0.000309	0.000463	0.000000
17	16823489	18384189	HaplotypeGroup	0	HaplotypeGroup	1	0.000415	0.000467	0.000242	0.000354	0.145979
17	18622358	18823772	HaplotypeGroup	0	HaplotypeGroup	1	0.000001	0.000001	0.000000	0.000001	0.036145
17	30621880	30625588	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
17	45585158	46292044	HaplotypeGroup	0	HaplotypeGroup	1	0.002744	0.000239	0.000129	0.000184	0.932922
17	60035639	60110887	HaplotypeGroup	0	HaplotypeGroup	1	0.000224	0.000243	0.000118	0.000180	0.192897
1	13104251	13122520	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	43593640	43594290	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	60776840	60778676	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	91666231	91667084	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	108310641	108383735	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	120299057	120600964	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	144376208	144600798	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	145160433	146154519	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	146298108	148672871	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	148893780	149265642	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	149843517	149850292	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	197787658	197788855	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	227499208	227502112	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
1	248518571	248529488	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	45065587	45081776	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	88861563	88886159	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
2	90060917	90216478	HaplotypeGroup	0	HaplotypeGroup	1	0.000000	0.000000	0.000000	0.000000	0.000000
