phy_filename	transcript_id	gene_name	chromosome	haplotype_group	overall_cds_start_1based	overall_cds_end_1based	spliced_cds_length	cds_segment_coords_1based
group0_PTPN20_ENSG00000204179.11_ENST00000374339.5_chr10_cds_start46932500_cds_end47000738_inv_start46983451_inv_end47468232.phy.gz	ENST00000374339.5	PTPN20	10	0	46932500	47000738	1260	46932500-46932533;46940623-46940717;46943918-46944015;46946563-46946675;46964986-46965137;46967957-46968047;46984230-46984564;46987340-46987555;46999912-46999974;47000676-47000738
group0_GDF10_ENSG00000266524.3_ENST00000580279.2_chr10_cds_start47300652_cds_end47312789_inv_start46983451_inv_end47468232.phy.gz	ENST00000580279.2	GDF10	10	0	47300652	47312789	1434	47300652-47300970;47309796-47310721;47312601-47312789
group0_GDF2_ENSG00000263761.3_ENST00000581492.3_chr10_cds_start47322669_cds_end47325781_inv_start46983451_inv_end47468232.phy.gz	ENST00000581492.3	GDF2	10	0	47322669	47325781	1287	47322669-47323014;47324841-47325781
group0_RBP3_ENSG00000265203.2_ENST00000584701.2_chr10_cds_start47348485_cds_end47357454_inv_start46983451_inv_end47468232.phy.gz	ENST00000584701.2	RBP3	10	0	47348485	47357454	3741	47348485-47351538;47353325-47353515;47355376-47355518;47357102-47357454
group0_ZNF488_ENSG00000265763.4_ENST00000585316.3_chr10_cds_start47367810_cds_end47368829_inv_start46983451_inv_end47468232.phy.gz	ENST00000585316.3	ZNF488	10	0	47367810	47368829	1020	47367810-47368829
group1_PTPN20_ENSG00000204179.11_ENST00000374339.5_chr10_cds_start46932500_cds_end47000738_inv_start46983451_inv_end47468232.phy.gz	ENST00000374339.5	PTPN20	10	1	46932500	47000738	1260	46932500-46932533;46940623-46940717;46943918-46944015;46946563-46946675;46964986-46965137;46967957-46968047;46984230-46984564;46987340-46987555;46999912-46999974;47000676-47000738
group1_GDF10_ENSG00000266524.3_ENST00000580279.2_chr10_cds_start47300652_cds_end47312789_inv_start46983451_inv_end47468232.phy.gz	ENST00000580279.2	GDF10	10	1	47300652	47312789	1434	47300652-47300970;47309796-47310721;47312601-47312789
group1_GDF2_ENSG00000263761.3_ENST00000581492.3_chr10_cds_start47322669_cds_end47325781_inv_start46983451_inv_end47468232.phy.gz	ENST00000581492.3	GDF2	10	1	47322669	47325781	1287	47322669-47323014;47324841-47325781
group1_RBP3_ENSG00000265203.2_ENST00000584701.2_chr10_cds_start47348485_cds_end47357454_inv_start46983451_inv_end47468232.phy.gz	ENST00000584701.2	RBP3	10	1	47348485	47357454	3741	47348485-47351538;47353325-47353515;47355376-47355518;47357102-47357454
group1_ZNF488_ENSG00000265763.4_ENST00000585316.3_chr10_cds_start47367810_cds_end47368829_inv_start46983451_inv_end47468232.phy.gz	ENST00000585316.3	ZNF488	10	1	47367810	47368829	1020	47367810-47368829
group0_PLAC9_ENSG00000189129.14_ENST00000372263.4_chr10_cds_start80132763_cds_end80144907_inv_start79542901_inv_end80217413.phy.gz	ENST00000372263.4	PLAC9	10	0	80132763	80144907	291	80132763-80132826;80142082-80142179;80144223-80144343;80144900-80144907
group0_TMEM254_ENSG00000133678.14_ENST00000372281.8_chr10_cds_start80078700_cds_end80090914_inv_start79542901_inv_end80217413.phy.gz	ENST00000372281.8	TMEM254	10	0	80078700	80090914	369	80078700-80078786;80081841-80081944;80082145-80082204;80090797-80090914
group0_SFTPD_ENSG00000133661.17_ENST00000372292.8_chr10_cds_start79937855_cds_end79946659_inv_start79542901_inv_end80217413.phy.gz	ENST00000372292.8	SFTPD	10	0	79937855	79946659	1125	79946461-79946659;79942763-79942879;79942388-79942504;79941954-79942070;79941398-79941514;79940705-79940788;79937855-79938228
group0_SFTPA2_ENSG00000185303.17_ENST00000372325.7_chr10_cds_start79557212_cds_end79559483_inv_start79542901_inv_end80217413.phy.gz	ENST00000372325.7	SFTPA2	10	0	79557212	79559483	744	79559312-79559483;79558886-79559005;79558052-79558129;79557212-79557585
group0_SFTPA1_ENSG00000122852.15_ENST00000398636.8_chr10_cds_start79611826_cds_end79614110_inv_start79542901_inv_end80217413.phy.gz	ENST00000398636.8	SFTPA1	10	0	79611826	79614110	744	79611826-79611997;79612312-79612431;79613189-79613266;79613737-79614110
group0_ANXA11_ENSG00000122359.18_ENST00000422982.8_chr10_cds_start80155856_cds_end80172861_inv_start79542901_inv_end80217413.phy.gz	ENST00000422982.8	ANXA11	10	0	80155856	80172861	1515	80172807-80172861;80170800-80170915;80168969-80169358;80167226-80167313;80166890-80166984;80166084-80166197;80164053-80164143;80163534-80163613;80163349-80163405;80161935-80162028;80159100-80159195;80157967-80158025;80157641-80157763;80155856-80155912
group0_NUTM2B_ENSG00000188199.11_ENST00000429828.7_chr10_cds_start79703610_cds_end79712482_inv_start79542901_inv_end80217413.phy.gz	ENST00000429828.7	NUTM2B	10	0	79703610	79712482	2634	79703610-79703991;79706042-79706741;79708699-79708827;79709800-79709939;79710382-79710764;79711250-79711366;79711700-79712482
group0_NUTM2E_ENSG00000228570.8_ENST00000429984.5_chr10_cds_start79841741_cds_end79850603_inv_start79542901_inv_end80217413.phy.gz	ENST00000429984.5	NUTM2E	10	0	79841741	79850603	2634	79841741-79842122;79844173-79844872;79846830-79846958;79847931-79848070;79848513-79848895;79849371-79849487;79849821-79850603
group1_PLAC9_ENSG00000189129.14_ENST00000372263.4_chr10_cds_start80132763_cds_end80144907_inv_start79542901_inv_end80217413.phy.gz	ENST00000372263.4	PLAC9	10	1	80132763	80144907	291	80132763-80132826;80142082-80142179;80144223-80144343;80144900-80144907
group1_TMEM254_ENSG00000133678.14_ENST00000372281.8_chr10_cds_start80078700_cds_end80090914_inv_start79542901_inv_end80217413.phy.gz	ENST00000372281.8	TMEM254	10	1	80078700	80090914	369	80078700-80078786;80081841-80081944;80082145-80082204;80090797-80090914
group1_SFTPD_ENSG00000133661.17_ENST00000372292.8_chr10_cds_start79937855_cds_end79946659_inv_start79542901_inv_end80217413.phy.gz	ENST00000372292.8	SFTPD	10	1	79937855	79946659	1125	79946461-79946659;79942763-79942879;79942388-79942504;79941954-79942070;79941398-79941514;79940705-79940788;79937855-79938228
group1_SFTPA2_ENSG00000185303.17_ENST00000372325.7_chr10_cds_start79557212_cds_end79559483_inv_start79542901_inv_end80217413.phy.gz	ENST00000372325.7	SFTPA2	10	1	79557212	79559483	744	79559312-79559483;79558886-79559005;79558052-79558129;79557212-79557585
group1_SFTPA1_ENSG00000122852.15_ENST00000398636.8_chr10_cds_start79611826_cds_end79614110_inv_start79542901_inv_end80217413.phy.gz	ENST00000398636.8	SFTPA1	10	1	79611826	79614110	744	79611826-79611997;79612312-79612431;79613189-79613266;79613737-79614110
group1_ANXA11_ENSG00000122359.18_ENST00000422982.8_chr10_cds_start80155856_cds_end80172861_inv_start79542901_inv_end80217413.phy.gz	ENST00000422982.8	ANXA11	10	1	80155856	80172861	1515	80172807-80172861;80170800-80170915;80168969-80169358;80167226-80167313;80166890-80166984;80166084-80166197;80164053-80164143;80163534-80163613;80163349-80163405;80161935-80162028;80159100-80159195;80157967-80158025;80157641-80157763;80155856-80155912
group1_NUTM2B_ENSG00000188199.11_ENST00000429828.7_chr10_cds_start79703610_cds_end79712482_inv_start79542901_inv_end80217413.phy.gz	ENST00000429828.7	NUTM2B	10	1	79703610	79712482	2634	79703610-79703991;79706042-79706741;79708699-79708827;79709800-79709939;79710382-79710764;79711250-79711366;79711700-79712482
group1_NUTM2E_ENSG00000228570.8_ENST00000429984.5_chr10_cds_start79841741_cds_end79850603_inv_start79542901_inv_end80217413.phy.gz	ENST00000429984.5	NUTM2E	10	1	79841741	79850603	2634	79841741-79842122;79844173-79844872;79846830-79846958;79847931-79848070;79848513-79848895;79849371-79849487;79849821-79850603
group0_CKAP2_ENSG00000136108.15_ENST00000258607.10_chr13_cds_start52455557_cds_end52475138_inv_start52344010_inv_end52502256.phy.gz	ENST00000258607.10	CKAP2	13	0	52455557	52475138	2046	52455557-52455626;52456523-52456607;52460899-52460974;52461058-52461926;52462363-52462567;52465295-52465465;52468278-52468347;52473829-52474084;52474895-52475138
group0_THSD1_ENSG00000136114.17_ENST00000258613.5_chr13_cds_start52377414_cds_end52402600_inv_start52344010_inv_end52502256.phy.gz	ENST00000258613.5	THSD1	13	0	52377414	52402600	2556	52402543-52402600;52397232-52398194;52386028-52386186;52377414-52378789
group0_VPS36_ENSG00000136100.14_ENST00000378060.9_chr13_cds_start52415833_cds_end52450594_inv_start52344010_inv_end52502256.phy.gz	ENST00000378060.9	VPS36	13	0	52415833	52450594	1158	52450499-52450594;52442377-52442445;52439098-52439168;52436290-52436404;52434793-52434882;52433662-52433748;52427187-52427219;52426989-52427066;52425932-52426066;52423574-52423639;52417992-52418056;52417057-52417141;52416017-52416093;52415833-52415923
group1_CKAP2_ENSG00000136108.15_ENST00000258607.10_chr13_cds_start52455557_cds_end52475138_inv_start52344010_inv_end52502256.phy.gz	ENST00000258607.10	CKAP2	13	1	52455557	52475138	2046	52455557-52455626;52456523-52456607;52460899-52460974;52461058-52461926;52462363-52462567;52465295-52465465;52468278-52468347;52473829-52474084;52474895-52475138
group1_THSD1_ENSG00000136114.17_ENST00000258613.5_chr13_cds_start52377414_cds_end52402600_inv_start52344010_inv_end52502256.phy.gz	ENST00000258613.5	THSD1	13	1	52377414	52402600	2556	52402543-52402600;52397232-52398194;52386028-52386186;52377414-52378789
