dataset	consensus	consensus_label	phy_group	group_label	filename	reason	detail
CDS	NA	NA	NA	NA	group0_ADM5_ENSG00000224420.4_ENST00000420022.4_chr19_cds_start49689838_cds_end49690490_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49689838,49690490] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ALDH16A1_ENSG00000161618.10_ENST00000293350.9_chr19_cds_start49453332_cds_end49470464_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49453332,49470464] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_AP2A1_ENSG00000196961.13_ENST00000354293.10_chr19_cds_start49767134_cds_end49806755_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49767134,49806755] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_ATF5_ENSG00000169136.13_ENST00000423777.7_chr19_cds_start49930851_cds_end49933089_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49930851,49933089] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_BAX_ENSG00000087088.21_ENST00000345358.12_chr19_cds_start48954929_cds_end48961633_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [48954929,48961633] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_BCL2L12_ENSG00000126453.11_ENST00000246784.8_chr19_cds_start49666693_cds_end49673745_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49666693,49673745] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_C19orf73_ENSG00000221916.4_ENST00000408991.4_chr19_cds_start49118636_cds_end49119022_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49118636,49119022] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CCL4L2_ENSG00000276070.5_ENST00000620576.5_chr17_cds_start36211142_cds_end36212566_inv_start36109569_inv_end36223772.phy	CDS_NO_OVERLAP	CDS [36211142,36212566] on chr 17 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CD37_ENSG00000104894.12_ENST00000323906.9_chr19_cds_start49335541_cds_end49340325_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49335541,49340325] on chr 19 overlaps no inv_info row
CDS	NA	NA	NA	NA	group0_CGB2_ENSG00000104818.15_ENST00000359342.7_chr19_cds_start49032096_cds_end49033218_inv_start47959660_inv_end50091195.phy	CDS_NO_OVERLAP	CDS [49032096,49033218] on chr 19 overlaps no inv_info row
