inv_id	chrom	start	end	orig_id	recurrence_class	sources	ancestral_orientation	derived_orientation	flip_ref_polarity	confidence	n_outgroups_informative	n_support_ref_ancestral	n_support_ref_derived	outgroup_discordant	orient_chimp	orient_gorilla	orient_orangutan	orient_macaque	evidence	inv_af_ref	derived_af	minor_is_derived	strandseq_flip	strandseq_confidence	strandseq_source	evidence_tier	t2t_ape_flip	t2t_ape_confidence
chr1:13104252-13122521	chr1	13104252	13122521	chr1-13084312-INV-62181	recurrent	callset;inv_properties	direct	inverted	0	low	4	3	1	1	collinear	collinear	collinear	inverted	discordant[0.75]:chimp+,gorilla+,orangutan+,macaque-	0.69	0.69	False				synteny	1	low
chr1:13190914-13324586	chr1	13190914	13324586	chr1-13190915-INV-133672	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.03	0.03	True				synteny	1	low
chr1:16653300-16795670	chr1	16653300	16795670	chr1-16653301-INV-142370	unknown	callset	direct	inverted	0	moderate	4	3	1	1	collinear	collinear	inverted	collinear	discordant[0.75]:chimp+,gorilla+,orangutan-,macaque+	NA	NA	NA				synteny	1	low
chr1:16680663-16724992	chr1	16680663	16724992	chr1-16710704-INV-24199	unknown	callset	inverted	direct	1	moderate	4	1	3	1	inverted	collinear	inverted	inverted	discordant[0.75]:chimp-,gorilla+,orangutan-,macaque-	NA	NA	NA				synteny	1	low
chr1:16838932-16946929	chr1	16838932	16946929	chr1-16838933-INV-107998	unknown	callset	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	NA	NA	NA				synteny		
chr1:21203917-21204602	chr1	21203917	21204602	chr1-21203898-INV-862	unknown	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.06	0.06	True				synteny		
chr1:25324280-25369060	chr1	25324280	25369060	chr1-25338356-INV-24067	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True	0	low	strandseq_parsimony	recurrent_t2t_apes	1	recurrent
chr1:26641622-26646431	chr1	26641622	26646431	chr1-26639853-INV-8324	unknown	callset;inv_properties	direct	inverted	0	moderate	4	2	2	1	inverted	inverted	collinear	collinear	discordant[0.50]:chimp-,gorilla-,orangutan+,macaque+	0.99	0.99	False	1	low	strandseq_parsimony	synteny		
chr1:43593641-43594291	chr1	43593641	43594291	chr1-43593626-INV-710	unknown	callset;inv_properties	direct	inverted	0	assumed	0	0	0	0	NA	NA	NA	NA	no_ape_orthology	0.69	0.69	False				synteny	1	low
chr1:60776841-60778677	chr1	60776841	60778677	chr1-60775308-INV-5023	unknown	callset;inv_properties	direct	inverted	0	high	2	2	0	0	collinear	collinear	NA	NA	congruent[1.00]:chimp+,gorilla+	0.08	0.08	True				synteny		
chr1:81650508-81707447	chr1	81650508	81707447	chr1-81642914-INV-66617	single-event	callset;inv_properties	direct	inverted	0	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.01	0.01	True				synteny		
chr1:91666232-91667085	chr1	91666232	91667085	chr1-91666258-INV-840	unknown	callset;inv_properties	direct	inverted	0	high	3	3	0	0	collinear	collinear	collinear	NA	congruent[1.00]:chimp+,gorilla+,orangutan+	0.1	0.1	True				synteny		
chr1:108310642-108383736	chr1	108310642	108383736	chr1-108311808-INV-57118	recurrent	callset;inv_properties	inverted	direct	1	low	4	1	3	1	inverted	inverted	inverted	collinear	discordant[0.75]:chimp-,gorilla-,orangutan-,macaque+	0.57	0.43	True	1	low	strandseq_parsimony	synteny		
chr1:120299058-120600965	chr1	120299058	120600965	chr1-120299059-INV-301908	unknown	callset;inv_properties	inverted	direct	1	high	4	4	0	0	collinear	collinear	collinear	collinear	congruent[1.00]:chimp+,gorilla+,orangutan+,macaque+	0.84	0.16	False	0	low	strandseq_parsimony	gold_t2t_apes	1	high
